CMDLINE /usr/bin/python3 main.py
MEM 1.316406 1606411033.5111
MEM 30.277344 1606411033.6114
MEM 46.464844 1606411033.7117
MEM 69.281250 1606411033.8120
MEM 90.714844 1606411033.9123
MEM 102.558594 1606411034.0126
MEM 118.648438 1606411034.1130
MEM 125.722656 1606411034.2134
MEM 125.722656 1606411034.3139
MEM 125.722656 1606411034.4145
MEM 125.722656 1606411034.5149
MEM 129.816406 1606411034.6153
MEM 129.976562 1606411034.7157
MEM 132.929688 1606411034.8161
MEM 170.316406 1606411034.9164
MEM 191.242188 1606411035.0168
MEM 215.101562 1606411035.1171
MEM 237.613281 1606411035.2174
MEM 266.417969 1606411035.3177
MEM 282.476562 1606411035.4180
MEM 297.390625 1606411035.5183
MEM 323.734375 1606411035.6186
MEM 339.597656 1606411035.7190
MEM 366.484375 1606411035.8193
MEM 381.796875 1606411035.9196
MEM 401.960938 1606411036.0200
MEM 425.644531 1606411036.1203
MEM 457.054688 1606411036.2206
MEM 473.261719 1606411036.3210
MEM 487.460938 1606411036.4213
MEM 520.050781 1606411036.5216
MEM 539.839844 1606411036.6220
MEM 555.441406 1606411036.7224
MEM 600.218750 1606411036.8227
MEM 619.062500 1606411036.9230
MEM 667.117188 1606411037.0234
MEM 673.800781 1606411037.1237
MEM 673.800781 1606411037.2242
MEM 673.800781 1606411037.3246
MEM 673.800781 1606411037.4249
MEM 673.800781 1606411037.5252
MEM 673.800781 1606411037.6255
MEM 673.800781 1606411037.7259
MEM 673.800781 1606411037.8262
MEM 673.800781 1606411037.9265
MEM 673.800781 1606411038.0269
MEM 372.898438 1606411038.1272
MEM 374.386719 1606411038.2276
MEM 533.132812 1606411038.3279
MEM 550.148438 1606411038.4283
MEM 553.871094 1606411038.5286
FUNC core_parallel.linear_helpers.__get_v__ 373.2656 1606411038.2051 373.2656 1606411038.2087 0
FUNC core_parallel.linear_helpers.__get_v__ 553.8711 1606411038.4894 553.8711 1606411038.4926 0
FUNC core_parallel.linear_helpers.__get_v__ 576.8867 1606411038.7429 576.8867 1606411038.7461 0
FUNC core_parallel.linear_helpers.__get_v__ 576.8867 1606411038.9863 576.8867 1606411038.9900 0
FUNC core_parallel.linear_helpers.__get_v__ 576.8867 1606411039.2347 576.8867 1606411039.2391 0
FUNC core_parallel.linear_helpers.__step1__ 373.2656 1606411038.2137 373.2656 1606411038.2163 0
FUNC core_parallel.linear_helpers.__step1__ 550.1484 1606411038.4786 550.1484 1606411038.4812 0
FUNC core_parallel.linear_helpers.__step1__ 550.1484 1606411038.4819 550.1484 1606411038.4845 0
FUNC core_parallel.linear_helpers.__step1__ 553.8711 1606411038.4982 553.8711 1606411038.5007 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.7319 576.8867 1606411038.7345 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.7355 576.8867 1606411038.7387 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.7518 576.8867 1606411038.7545 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.9764 576.8867 1606411038.9790 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.9797 576.8867 1606411038.9821 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411038.9955 576.8867 1606411038.9981 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411039.2243 576.8867 1606411039.2271 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411039.2279 576.8867 1606411039.2305 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411039.2447 576.8867 1606411039.2473 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411039.4779 576.8867 1606411039.4806 0
FUNC core_parallel.linear_helpers.__step1__ 576.8867 1606411039.4813 576.8867 1606411039.4843 0
FUNC core_parallel.linear_helpers.__step2__ 373.2656 1606411038.2173 550.1484 1606411038.4779 0
FUNC core_parallel.linear_helpers.__step2__ 553.8711 1606411038.5018 576.8867 1606411038.7311 0
FUNC core_parallel.linear_helpers.__step2__ 576.8867 1606411038.7555 576.8867 1606411038.9757 0
FUNC core_parallel.linear_helpers.__step2__ 576.8867 1606411038.9992 576.8867 1606411039.2235 0
FUNC core_parallel.linear_helpers.__step2__ 576.8867 1606411039.2485 576.8867 1606411039.4772 0
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 465.4531 1606411038.2747 550.1484 1606411038.4771 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 560.9023 1606411038.5511 576.8867 1606411038.7303 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 576.8867 1606411038.8037 576.8867 1606411038.9750 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 576.8867 1606411039.0516 576.8867 1606411039.2227 1
FUNC problem_examples_parallel.advection_2d_pbc_upwind5.linear_solver 576.8867 1606411039.3017 576.8867 1606411039.4764 1
MEM 576.886719 1606411038.6290
MEM 576.886719 1606411038.7293
MEM 576.886719 1606411038.8297
MEM 576.886719 1606411038.9300
MEM 576.886719 1606411039.0303
MEM 576.886719 1606411039.1307
MEM 576.886719 1606411039.2310
MEM 576.886719 1606411039.3314
MEM 576.886719 1606411039.4317
MEM 577.101562 1606411039.5320
MEM 575.867188 1606411039.6324
