result:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|------|
|    0 |     1 |      64 |              1 |    110.12987 |           0.0 |       4.0 |     256.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    1 |     1 |      64 |              1 |     55.51787 |           0.0 |       2.0 |     128.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |     2 |      32 |              2 |    120.54378 |       1.06778 |       7.0 |     193.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    1 |     2 |      32 |              2 |     28.95848 |       0.35721 |       2.0 |      64.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |     4 |      16 |              4 |    113.14055 |       2.20912 |      12.0 |     192.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    1 |     4 |      16 |              4 |     24.82795 |       0.53378 |       3.0 |      47.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |     8 |       8 |              8 |    100.61809 |       2.69507 |      22.0 |     176.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    1 |     8 |       8 |              8 |     17.32185 |       0.47173 |       4.0 |      31.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |    16 |       4 |             16 |      5.60756 |       0.20865 |       8.0 |       8.0 | 320 | 1e-07 | 1e-05 |           0 |      |
|    1 |    16 |       4 |             16 |     16.31231 |       0.63877 |       7.0 |      26.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |    32 |       2 |             32 |      3.70876 |       0.16307 |       4.0 |       4.0 | 320 | 1e-07 | 1e-05 |           0 |      |
|    1 |    32 |       2 |             32 |     18.15955 |        0.9392 |      16.0 |      24.0 | 320 | 1e-07 | 1e-05 |           1 |      |
|    0 |    64 |       1 |             64 |      3.81317 |       0.15399 |       3.0 |       3.0 | 320 | 1e-07 | 1e-05 |           0 |      |
|    1 |    64 |       1 |             64 |     13.72083 |        0.8365 |      15.0 |      15.0 | 320 | 1e-07 | 1e-05 |           1 |      |

