result:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|------|
|    0 |     1 |      64 |              1 |    110.53497 |           0.0 |       4.0 |     256.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    1 |     1 |      64 |              1 |     55.18896 |           0.0 |       2.0 |     128.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     2 |      32 |              2 |    117.22626 |       1.06333 |       6.0 |     192.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    1 |     2 |      32 |              2 |     28.02989 |       0.36509 |       2.0 |      64.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     4 |      16 |              4 |    101.45228 |        1.9672 |      11.0 |     172.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    1 |     4 |      16 |              4 |     22.96849 |       0.52999 |       3.0 |      47.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |     8 |       8 |              8 |     27.31737 |       0.81475 |      50.0 |      52.0 | 320 | 1e-07 | 1e-05 |           0 |     0|
|    1 |     8 |       8 |              8 |     16.81055 |       0.46564 |       4.0 |      31.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    16 |       4 |             16 |      6.08405 |       0.18716 |       7.0 |       7.0 | 320 | 1e-07 | 1e-05 |           0 |     0|
|    1 |    16 |       4 |             16 |     18.16794 |       0.63721 |       7.0 |      26.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    32 |       2 |             32 |      5.25068 |       0.16655 |       4.0 |       4.0 | 320 | 1e-07 | 1e-05 |           0 |     0|
|    1 |    32 |       2 |             32 |     25.16663 |       1.08399 |      20.0 |      28.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
|    0 |    64 |       1 |             64 |      5.89297 |       0.15952 |       3.0 |       3.0 | 320 | 1e-07 | 1e-05 |           0 |     0|
|    1 |    64 |       1 |             64 |      18.7697 |       0.94933 |      17.0 |      17.0 | 320 | 1e-07 | 1e-05 |           1 |     0|
