result:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|------|
|    0 |     2 |     128 |              1 |    937.23372 |     155.33535 |       3.0 |     278.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |     2 |     128 |              1 |   1654.46747 |      30.54129 |       2.0 |     256.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |     4 |      64 |              2 |   1306.59843 |      68.57117 |       3.0 |     192.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |     4 |      64 |              2 |    838.64711 |      20.54261 |       2.0 |     128.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |     8 |      32 |              4 |    642.49558 |      28.39543 |       3.0 |      96.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |     8 |      32 |              4 |    447.76926 |      25.60814 |       3.0 |      65.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |    16 |      16 |              8 |    375.10834 |      64.94584 |       3.0 |      48.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |    16 |      16 |              8 |    288.79959 |      57.19692 |       3.0 |      34.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |    32 |       8 |             16 |    391.52898 |     178.29031 |       4.0 |      32.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |    32 |       8 |             16 |    279.75141 |       133.874 |       3.0 |      22.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |    64 |       4 |             32 |    320.82802 |     221.03529 |       4.0 |      16.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |    64 |       4 |             32 |    257.67558 |     184.41584 |       3.0 |      12.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |   128 |       2 |             64 |    310.82725 |     245.67681 |       5.0 |      10.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |   128 |       2 |             64 |    219.65095 |     175.35854 |       4.0 |       7.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |   256 |       1 |            128 |    184.73652 |     149.04323 |       5.0 |       5.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |   256 |       1 |            128 |    137.73097 |     108.77657 |       4.0 |       4.0 | 800 | 1e-12 | 1e-10 |           1 |      |
