result:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |   Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|------|-------|-------|-------------|------|
|    0 |     1 |     128 |              1 |    196.43667 |           0.0 |       1.0 |     128.0 | 1500 | 1e-08 | 1e-06 |           1 |      |
|    1 |     1 |     128 |              1 |     323.4629 |           0.0 |       1.0 |     128.0 | 1500 | 1e-08 | 1e-06 |           1 |      |
|    0 |     2 |      64 |              2 |    272.11673 |        8.7711 |       1.0 |      64.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |     2 |      64 |              2 |     281.1383 |       8.91148 |       1.0 |      64.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |     4 |      32 |              4 |    168.92472 |       8.18521 |       1.0 |      32.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |     4 |      32 |              4 |    179.83471 |       8.23853 |       1.0 |      32.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |     8 |      16 |              8 |    113.40323 |       5.10708 |       1.0 |      16.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |     8 |      16 |              8 |    116.22237 |       5.11509 |       1.0 |      16.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |    16 |       8 |             16 |     70.28745 |       3.63153 |       1.0 |       8.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |    16 |       8 |             16 |     71.95402 |       3.66266 |       1.0 |       8.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |    32 |       4 |             32 |     45.48877 |       2.29027 |       1.0 |       4.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |    32 |       4 |             32 |      50.1754 |        2.2834 |       1.0 |       4.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |    64 |       2 |             64 |     33.48622 |       1.37401 |       1.0 |       2.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |    64 |       2 |             64 |      33.7421 |       1.37215 |       1.0 |       2.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    0 |   128 |       1 |            128 |     25.89701 |       0.75561 |       1.0 |       1.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
|    1 |   128 |       1 |            128 |     25.81251 |       0.74999 |       1.0 |       1.0 | 1500 | 1e-12 | 1e-06 |           1 |      |
