Rounding erroresult:
| beta | nproc | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx |  stol |   tol | convergence | diff |
|------|-------|---------|----------------|--------------|---------------|-----------|-----------|-----|-------|-------|-------------|------|
|    0 |     2 |     128 |              1 |    937.23372 |     155.33535 |       3.0 |     278.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    1 |     2 |     128 |              1 |   1654.46747 |      30.54129 |       2.0 |     256.0 | 800 | 1e-12 | 1e-10 |           1 |      |
|    0 |     4 |      64 |              2 |   1835.84281 |      30.23462 |       3.0 |     192.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |     4 |      64 |              2 |   1214.97199 |      21.11774 |       2.0 |     128.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |     8 |      32 |              4 |    934.98322 |      34.75948 |       3.0 |      96.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |     8 |      32 |              4 |     646.6989 |       31.3209 |       3.0 |      65.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |    16 |      16 |              8 |    544.04719 |     101.76126 |       3.0 |      48.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |    16 |      16 |              8 |    389.50899 |      68.90019 |       3.0 |      34.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |    32 |       8 |             16 |    520.67762 |     228.08563 |       4.0 |      32.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |    32 |       8 |             16 |    372.70778 |     174.94271 |       3.0 |      22.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |    64 |       4 |             32 |    402.39116 |     268.76594 |       4.0 |      16.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |    64 |       4 |             32 |    317.59587 |     219.21128 |       3.0 |      12.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |   128 |       2 |             64 |     328.1293 |     239.64773 |       5.0 |      10.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |   128 |       2 |             64 |    228.02796 |       169.528 |       4.0 |       7.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    0 |   256 |       1 |            128 |    171.15353 |     125.75354 |       5.0 |       5.0 | 800 | 1e-15 | 1e-10 |           1 |      |
|    1 |   256 |       1 |            128 |    148.20491 |     111.31758 |       4.0 |       4.0 | 800 | 1e-15 | 1e-10 |           1 |      |
