result: (knudsen = 1e-2, alpha = 1e-8)
| nproc | proc_col | rolling | time_intervals | tot_time_avg | comm_time_avg | max_iters | tot_iters |  Nx | Nt |    dt |  stol |   tol | convergence |
|-------|----------|---------|----------------|--------------|---------------|-----------|-----------|-----|----|-------|-------|-------|-------------|
|    64 |       64 |      32 |              1 |   3145.37977 |      95.27803 |       4.0 |     128.0 | 384 |  1 | 0.001 | 1e-11 | 1e-10 |           1 |
|   128 |       64 |      16 |              2 |   2787.31737 |     106.87856 |       5.0 |      80.0 | 384 |  2 | 0.001 | 1e-11 | 1e-10 |           1 |
|   256 |       64 |       8 |              4 |   1691.55104 |     114.34673 |       6.0 |      48.0 | 384 |  4 | 0.001 | 1e-11 | 1e-10 |           1 |
|   512 |       64 |       4 |              8 |    1233.1818 |      92.54601 |       9.0 |      35.0 | 384 |  8 | 0.001 | 1e-11 | 1e-10 |           1 |

|  1024 |       64 |       2 |             16 |   1029.06879 |     116.87804 |      15.0 |      29.0 | 384 | 16 | 0.001 | 1e-11 | 1e-10 |           1 |
|  1024 |       64 |       2 |             16 |   1027.02172 |     137.42914 |      15.0 |      29.0 | 384 | 16 | 0.001 | 1e-11 | 1e-10 |           1 | <- with alpha=1e-6

|  2048 |       64 |       1 |             32 |    716.64541 |     162.18987 |      20.0 |      20.0 | 384 | 32 | 0.001 | 1e-11 | 1e-10 |           0 |

