0
         1267159 function calls (1249907 primitive calls) in 1.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  132/109    0.640    0.005    0.665    0.006 {built-in method _imp.exec_dynamic}
      803    0.081    0.000    0.081    0.000 {built-in method marshal.loads}
        1    0.065    0.065    0.115    0.115 advection_2d_pbc_upwind5.py:29(setup)
      132    0.063    0.000    0.065    0.000 {built-in method _imp.create_dynamic}
2142/2044    0.033    0.000    0.128    0.000 {built-in method builtins.__build_class__}
     7675    0.024    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
   415164    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
      910    0.021    0.000    0.021    0.000 {built-in method numpy.array}
     2579    0.019    0.000    0.033    0.000 inspect.py:613(cleandoc)
     4352    0.018    0.000    0.018    0.000 {built-in method posix.stat}
   1074/1    0.018    0.000    1.599    1.599 {built-in method builtins.exec}
     1025    0.017    0.000    0.017    0.000 {method 'sub' of 're.Pattern' objects}
      337    0.017    0.000    0.046    0.000 doccer.py:12(docformat)
      590    0.014    0.000    0.014    0.000 {method 'findall' of 're.Pattern' objects}
     1452    0.010    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      517    0.010    0.000    0.010    0.000 {method 'items' of 'mappingproxy' objects}
      803    0.010    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      803    0.010    0.000    0.010    0.000 {method 'read' of '_io.FileIO' objects}
  552/228    0.008    0.000    0.021    0.000 sre_parse.py:469(_parse)
24734/24568    0.008    0.000    0.017    0.000 {built-in method builtins.getattr}
      342    0.008    0.000    0.008    0.000 {method 'get_g_type' of 'gi.RegisteredTypeInfo' objects}
     8082    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
      356    0.007    0.000    0.012    0.000 doccer.py:179(indentcount_lines)
      803    0.007    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    55854    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
        1    0.007    0.007    0.007    0.007 widgets.py:62(Widget)
     1033    0.007    0.000    0.018    0.000 inspect.py:2117(_signature_from_function)
    10650    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
97584/96453    0.006    0.000    0.007    0.000 {built-in method builtins.len}
21428/21424    0.006    0.000    0.007    0.000 {method 'join' of 'str' objects}
    14977    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
     1026    0.006    0.000    0.084    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    36508    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.005    0.005    0.015    0.015 Gdk.py:22(<module>)
    48512    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     2238    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  213/185    0.005    0.000    0.039    0.000 module.py:128(__getattr__)
        1    0.005    0.005    0.080    0.080 backend_gtk3.py:1(<module>)
  1241/19    0.005    0.000    1.482    0.078 <frozen importlib._bootstrap>:978(_find_and_load)
    13194    0.005    0.000    0.005    0.000 {built-in method builtins.setattr}
1443/1042    0.005    0.000    0.029    0.000 inspect.py:2198(_signature_from_callable)
    49172    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     1606    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1493    0.004    0.000    0.006    0.000 inspect.py:2750(__init__)
      623    0.004    0.000    0.004    0.000 {built-in method io.open}
     7675    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
 1073/218    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
     3186    0.004    0.000    0.007    0.000 inspect.py:2467(__init__)
  1031/19    0.004    0.000    1.482    0.078 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     2238    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      958    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
   971/22    0.004    0.000    1.480    0.067 <frozen importlib._bootstrap>:663(_load_unlocked)
     7113    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
1006/1005    0.003    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      590    0.003    0.000    0.038    0.000 textwrap.py:414(dedent)
      102    0.003    0.000    0.008    0.000 __init__.py:316(namedtuple)
     2238    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     1221    0.003    0.000    0.010    0.000 functools.py:37(update_wrapper)
 4345/556    0.003    0.000    1.345    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      252    0.003    0.000    0.005    0.000 polyint.py:601(_evaluate)
     5991    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      111    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     2724    0.003    0.000    0.043    0.000 re.py:271(_compile)
      958    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.003    0.003    0.037    0.037 Gtk.py:22(<module>)
     1941    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x858cc0}
      943    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      100    0.002    0.000    0.068    0.001 _distn_infrastructure.py:1572(__init__)
     8285    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
 1285/437    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      158    0.002    0.000    0.004    0.000 types.py:272(mro)
     7202    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
     6594    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     8006    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     3653    0.002    0.000    0.007    0.000 enum.py:284(__call__)
     1942    0.002    0.000    0.006    0.000 {built-in method builtins.any}
   803/21    0.002    0.000    1.480    0.070 <frozen importlib._bootstrap_external>:722(exec_module)
      951    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      371    0.002    0.000    0.004    0.000 colors.py:193(_to_rgba_no_colorcycle)
      803    0.002    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    19782    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     2700    0.002    0.000    0.003    0.000 typing.py:704(__setattr__)
       27    0.002    0.000    0.012    0.000 __init__.py:904(_rc_params_in_file)
       21    0.002    0.000    0.004    0.000 enum.py:135(__new__)
    10224    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
  958/954    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       12    0.002    0.000    0.021    0.002 artist.py:1314(_get_setters_and_targets)
     2325    0.002    0.000    0.030    0.000 inspect.py:594(getdoc)
      352    0.002    0.000    0.017    0.000 _util.py:277(getargspec_no_self)
      300    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
      738    0.002    0.000    0.003    0.000 posixpath.py:75(join)
     3684    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    10743    0.002    0.000    0.002    0.000 mathtext.py:2823(<genexpr>)
      115    0.001    0.000    0.022    0.000 _distn_infrastructure.py:622(_construct_argparser)
      592    0.001    0.000    0.011    0.000 __init__.py:78(open_resource)
